,Actual,Predicted
0,5112,11735.439378669822
1,91,-840.5896331184102
2,72486,1400009.5104717412
3,160916,56810.17721817676
4,294,-866.1212438971396
5,67,-794.5829829983759
6,16830,4790.311648434241
7,409,-644.9090055791769
8,5663,1415.231630198171
9,219439,37484.9341687541
10,19373,99057.26651261577
11,1423,-299.26614229272036
12,7071,10779.487332273264
13,2349,9443.176701155948
14,48751,18164.873850082666
15,183,-776.0400438819939
16,1298,-311.9188497986356
17,188094,233504.34450589024
18,67704,28438.15746922014
19,743,-638.6696005780783
20,19490,4468.183815745093
21,311,2766.1691163999385
22,688,-332.20518397109527
23,2,-936.3336696867772
24,2159,-770.0533525398796
25,3164,-446.7204315670141
26,1361,543.0701452419617
27,4090,550.3368028552106
28,89,-750.1704592926413
29,686,3318.989936851888
30,312,-780.6800095534177
31,77,-882.8884709418304
32,1971,-177.94721434171993
33,176,-848.7076601226611
34,16278,3091.515341773142
35,144858,71810.63696402064
36,194,-616.4074584603097
37,413,-391.64090391027594
38,36077,49779.70874123086
39,10119,6139.6931039611945
40,3904,18694.62234848232
41,699087,326360.7652478749
